Price,Close,High,Low,Open,Volume,MA_5,MA_10,MA_15,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded
Ticker,NUVOCO.NS,NUVOCO.NS,NUVOCO.NS,NUVOCO.NS,NUVOCO.NS,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,
2023-01-10,373.54998779296875,374.70001220703125,368.25,371.8999938964844,50234,,,,,,,1.4859627428401776,,-0.004417063178700609,0.0030786359299785904,-0.01418816213669949,Construction Materials,4
2023-01-11,375.1000061035156,376.29998779296875,372.3500061035156,374.0,34055,,,,,,,1.5756522589620843,0.00414942674661774,-0.0029325675436328025,0.0031990980269991365,-0.007331378179826209,Construction Materials,4
2023-01-12,380.25,382.70001220703125,376.3500061035156,377.0,167402,,,,,,,1.873649035815314,0.01372965559233593,-0.008547008547008517,0.0064431616226989785,-0.01025639420508706,Construction Materials,4
2023-01-13,380.54998779296875,384.95001220703125,379.6499938964844,384.95001220703125,36599,,,,,,,1.8910073855914227,0.0007889225324621959,0.011562277112609598,0.011562277112609598,-0.0023649820663612653,Construction Materials,4
2023-01-16,387.3999938964844,396.0,379.04998779296875,381.0,99346,379.3699951171875,,,,,,2.2873728534546136,0.018000279393629217,-0.016520376864524455,0.022199293337659576,-0.021553965500956562,Construction Materials,4
2023-01-17,381.95001220703125,386.1000061035156,380.0,386.0,24734,381.05,,,,,,1.9720177268252752,-0.014068099574904467,0.010603449832522926,0.010865280177645209,-0.005105412081972349,Construction Materials,4
2023-01-18,380.1000061035156,382.45001220703125,379.25,381.20001220703125,25581,382.05,,,,,,1.8649698609272594,-0.004843581736850036,0.00289399128085277,0.006182599489029217,-0.002236269639217414,Construction Materials,4
2023-01-19,380.20001220703125,385.70001220703125,378.04998779296875,378.04998779296875,37359,382.0400024414063,,,,,,1.8707565661374639,0.0002631047143113951,-0.005654982496138716,0.014466070024756084,-0.005654982496138716,Construction Materials,4
2023-01-20,376.29998779296875,382.8500061035156,370.20001220703125,382.8500061035156,103313,381.19000244140625,,,,,,1.6450874239210238,-0.010257822958561112,0.01740637396499345,0.01740637396499345,-0.01621040601599366,Construction Materials,4
2023-01-23,365.45001220703125,382.54998779296875,362.3500061035156,380.04998779296875,43253,376.8000061035156,378.0850006103516,,,,,1.017269640340197,-0.028833313680325965,0.03995067751609893,0.046791558393081134,-0.008482708988827303,Construction Materials,4
2023-01-24,367.29998779296875,370.75,362.0,362.5,45960,373.8700012207031,377.4600006103516,,,,,1.1243157403837085,0.005062185043489531,-0.013068303709485307,0.009392900412988459,-0.014429588807816973,Construction Materials,4
