Date,Company,VADER Sentiment Score,FinBERT Sentiment Score,VADER Rolling Mean,VADER Volatility,FinBERT Rolling Mean,FinBERT Volatility
2023-01-10,,0.5,0.8605377674102783,0.6088285714285715,0.1356121036001475,0.8310179029192243,0.1463049603914736
2023-01-11,,0.5,0.8605377674102783,0.6088285714285715,0.1356121036001475,0.8310179029192243,0.1463049603914736
2023-01-12,,0.5,0.8605377674102783,0.6088285714285715,0.1356121036001475,0.8310179029192243,0.1463049603914736
2023-01-13,,0.5,0.8605377674102783,0.6088285714285715,0.1356121036001475,0.8310179029192243,0.1463049603914736
2023-01-16,,0.5,0.8605377674102783,0.6088285714285715,0.1356121036001475,0.8310179029192243,0.1463049603914736
2023-01-17,,0.5,0.8605377674102783,0.6088285714285715,0.1356121036001475,0.8310179029192243,0.1463049603914736
2023-01-18,,0.5,0.8605377674102783,0.6088285714285715,0.1356121036001475,0.8310179029192243,0.1463049603914736
2023-01-19,,0.5,0.8605377674102783,0.6088285714285715,0.1356121036001475,0.8310179029192243,0.1463049603914736
2023-01-20,ICICI Bank Ltd.,0.5,0.8605377674102783,0.6088285714285715,0.1356121036001475,0.8310179029192243,0.1463049603914736
2023-01-20,ICICI Bank Ltd.,0.5,0.8605377674102783,0.5983428571428572,0.1350821900600837,0.8307341195288158,0.1462384658815034
2023-01-23,,0.5,0.90373095870018,0.5931,0.13438579951631466,0.8326490464664641,0.1472497663426052
2023-01-24,,0.5,0.9253275543451309,0.5904785714285714,0.13403760424443012,0.8336065099352883,0.1477554165731561
2023-01-25,,0.5,0.9361258521676064,0.5891678571428571,0.13386350660848786,0.8340852416697003,0.14800824168843155
2023-01-27,,0.5,0.9415250010788441,0.5885125,0.13377645779051672,0.8343246075369064,0.14813465424606925
2023-01-30,,0.5,0.9442245755344629,0.5881848214285714,0.13373293338153117,0.8344442904705094,0.14819786052488812
2023-01-31,ICICI Bank Ltd.,0.5,0.9469241499900818,0.5878571428571429,0.1336894089725456,0.8345639734041124,0.148261066803707
2023-01-31,ICICI Bank Ltd.,0.5,0.9469241499900818,0.5773714285714286,0.1314063264947968,0.8383938272794088,0.1501539097615777
2023-02-01,,0.5740000000000001,0.9423737823963165,0.575652380952381,0.12989940697188224,0.8400920700459253,0.1508874188856896
2023-02-02,,0.611,0.9400985985994339,0.5747928571428571,0.12914594721042497,0.8409411914291836,0.15125417344774555
2023-02-03,,0.6295,0.9389610067009926,0.5743630952380951,0.12876921732969632,0.8413657521208127,0.15143755072877352
2023-02-06,,0.6387499999999999,0.9383922107517719,0.5741482142857142,0.128580852389332,0.8415780324666273,0.15152923936928753
