Date,Company,VADER Sentiment Score,FinBERT Sentiment Score,VADER Rolling Mean,VADER Volatility,FinBERT Rolling Mean,FinBERT Volatility
2023-01-10,,0.5,0.9192050099372864,0.5319,0.0617268554804147,0.7382531551753774,0.1626315108779374
2023-01-11,,0.5,0.9192050099372864,0.5319,0.0617268554804147,0.7382531551753774,0.1626315108779374
2023-01-12,,0.5,0.9192050099372864,0.5319,0.0617268554804147,0.7382531551753774,0.1626315108779374
2023-01-13,,0.5,0.9192050099372864,0.5319,0.0617268554804147,0.7382531551753774,0.1626315108779374
2023-01-16,,0.5,0.9192050099372864,0.5319,0.0617268554804147,0.7382531551753774,0.1626315108779374
2023-01-17,,0.5,0.9192050099372864,0.5319,0.0617268554804147,0.7382531551753774,0.1626315108779374
2023-01-18,,0.5,0.9192050099372864,0.5319,0.0617268554804147,0.7382531551753774,0.1626315108779374
2023-01-19,,0.5,0.9192050099372864,0.5319,0.0617268554804147,0.7382531551753774,0.1626315108779374
2023-01-20,,0.5,0.9192050099372864,0.5319,0.0617268554804147,0.7382531551753774,0.1626315108779374
2023-01-23,,0.5,0.9192050099372864,0.5319,0.0617268554804147,0.7382531551753774,0.1626315108779374
2023-01-24,,0.5,0.9192050099372864,0.5319,0.0617268554804147,0.7382531551753774,0.1626315108779374
2023-01-25,Capri Global Capital Ltd.,0.5,0.9192050099372864,0.5319,0.0617268554804147,0.7382531551753774,0.1626315108779374
2023-01-25,Capri Global Capital Ltd.,0.5,0.9192050099372864,0.5301277777777779,0.0603540295994301,0.7483060359954834,0.1634388929878736
2023-01-27,,0.5683,0.8656286001205444,0.5329296783625732,0.061945280773060454,0.7499835663720181,0.16147239136880126
2023-01-30,,0.60245,0.8388403952121735,0.5343306286549708,0.06274090635987563,0.7508223315602855,0.16048914055926508
2023-01-31,,0.6195250000000001,0.825446292757988,0.5350311038011697,0.06313871915328322,0.7512417141544192,0.159997515154497
2023-02-01,,0.6280625000000001,0.8187492415308952,0.5353813413742691,0.06333762554998701,0.751451405451486,0.15975170245211295
2023-02-02,,0.63233125,0.8154007159173489,0.5355564601608187,0.0634370787483389,0.7515562511000194,0.15962879610092093
2023-02-03,,0.634465625,0.8137264531105757,0.5356440195540936,0.06348680534751486,0.7516086739242862,0.15956734292532493
2023-02-06,,0.6355328125,0.8128893217071891,0.535687799250731,0.06351166864710284,0.7516348853364195,0.15953661633752692
2023-02-07,,0.6360664062500001,0.8124707560054958,0.5357096890990497,0.06352410029689681,0.7516479910424863,0.1595212530436279
2023-02-08,,0.6363332031250001,0.8122614731546491,0.535720634023209,0.0635303161217938,0.7516545438955196,0.1595135713966784
2023-02-09,,0.6364666015625,0.8121568317292258,0.5357261064852887,0.06353342403424231,0.7516578203220362,0.15950973057320367
2023-02-10,,0.63653330078125,0.8121045110165142,0.5357288427163286,0.06353497799046656,0.7516594585352945,0.15950781016146628
2023-02-13,,0.6365666503906251,0.8120783506601583,0.5357302108318485,0.06353575496857869,0.7516602776419237,0.1595068499555976
2023-02-14,,0.6365833251953126,0.8120652704819804,0.5357308948896085,0.06353614345763475,0.7516606871952383,0.15950636985266325
2023-02-15,,0.6365916625976563,0.8120587303928914,0.5357312369184885,0.06353633770216277,0.7516608919718956,0.15950612980119608
2023-02-16,,0.6365958312988282,0.812055460348347,0.5357314079329285,0.06353643482442678,0.7516609943602242,0.15950600977546248
2023-02-17,,0.6365979156494141,0.8120538253260747,0.5357314934401485,0.06353648338555878,0.7516610455543885,0.1595059497625957
2023-02-20,Capri Global Capital Ltd.,0.6366,0.8120521903038025,0.5357315789473684,0.0635365319466908,0.7516610967485529,0.1595058897497289
2023-02-20,Capri Global Capital Ltd.,0.6366,0.8120521903038025,0.540775,0.0658266273511035,0.7546806514263154,0.1558378120353113
2023-02-21,,0.5683,0.6806493103504181,0.5398041666666666,0.06530026738894276,0.7497893604494277,0.1571035471740761
2023-02-22,,0.53415,0.6149478703737259,0.5393187500000001,0.06503708740786238,0.7473437149609838,0.1577364147434585
2023-02-23,,0.517075,0.5820971503853798,0.5390760416666667,0.06490549741732218,0.7461208922167619,0.15805284852814971
2023-02-24,,0.5085375,0.5656717903912067,0.5389546875,0.06483970242205209,0.745509480844651,0.1582110654204953
2023-02-27,,0.50426875,0.5574591103941202,0.5388940104166666,0.06480680492441704,0.7452037751585955,0.1582901738666681
2023-02-28,,0.502134375,0.553352770395577,0.538863671875,0.06479035617559953,0.7450509223155677,0.15832972808975448
2023-03-01,,0.5010671875,0.5512996003963053,0.5388485026041667,0.06478213180119077,0.7449744958940538,0.1583495052012977
2023-03-02,,0.50053359375,0.5502730153966695,0.5388409179687501,0.06477801961398638,0.7449362826832969,0.1583593937570693
2023-03-03,,0.500266796875,0.5497597228968516,0.5388371256510418,0.0647759635203842,0.7449171760779185,0.1583643380349551
2023-03-06,,0.5001333984375,0.5495030766469426,0.5388352294921877,0.0647749354735831,0.7449076227752293,0.15836681017389798
2023-03-08,,0.50006669921875,0.5493747535219882,0.5388342814127605,0.06477442145018256,0.7449028461238847,0.15836804624336942
2023-03-09,,0.500033349609375,0.5493105919595109,0.538833807373047,0.06477416443848227,0.7449004577982123,0.15836866427810514
2023-03-10,,0.5000166748046875,0.5492785111782723,0.5388335703531901,0.06477403593263215,0.7448992636353762,0.158368973295473
2023-03-13,,0.5000083374023437,0.549262470787653,0.5388334518432618,0.06477397167970708,0.7448986665539581,0.15836912780415696
2023-03-14,,0.5000041687011718,0.5492544505923433,0.5388333925882975,0.06477393955324454,0.744898368013249,0.15836920505849894
2023-03-15,Capri Global Capital Ltd.,0.5,0.5492464303970337,0.5388333333333334,0.064773907426782,0.74489806947254,0.1583692823128409
2023-03-15,Capri Global Capital Ltd.,0.5,0.5492464303970337,0.5307380952380952,0.0578101740716154,0.7351579751287188,0.1639854961728034
2023-03-16,,0.5,0.7252258956432343,0.5266904761904763,0.05314737612650915,0.7386679024923415,0.16595811704042346
2023-03-17,,0.5,0.8132156282663345,0.5246666666666667,0.05081597715395603,0.7404228661741529,0.1669444274742335
2023-03-20,,0.5,0.8572104945778847,0.523654761904762,0.04965027766767946,0.7413003480150586,0.1674375826911385
2023-03-21,,0.5,0.8792079277336597,0.5231488095238096,0.049067427924541177,0.7417390889355114,0.167684160299591
2023-03-22,,0.5,0.8902066443115473,0.5228958333333333,0.04877600305297204,0.7419584593957378,0.16780744910381723
2023-03-23,,0.5,0.895706002600491,0.5227693452380953,0.048630290617187474,0.742068144625851,0.16786909350593038
2023-03-24,,0.5,0.8984556817449629,0.5227061011904762,0.04855743439929519,0.7421229872409076,0.16789991570698692
2023-03-27,,0.5,0.8998305213171989,0.5226744791666667,0.04852100629034904,0.742150408548436,0.1679153268075152
2023-03-28,,0.5,0.9005179411033168,0.5226586681547619,0.048502792235875974,0.7421641192022002,0.16792303235777933
2023-03-29,,0.5,0.9008616509963758,0.5226507626488095,0.048493685208639434,0.7421709745290822,0.16792688513291143
2023-03-31,,0.5,0.9010335059429053,0.5226468098958333,0.04848913169502117,0.7421744021925232,0.16792881152047745
2023-04-03,,0.5,0.9011194334161701,0.5226448335193452,0.04848685493821203,0.7421761160242437,0.16792977471426046
2023-04-05,,0.5,0.9011623971528024,0.5226438453311012,0.04848571655980746,0.742176972940104,0.167930256311152
2023-04-06,,0.5,0.9011838790211186,0.5226433512369792,0.04848514737060518,0.7421774013980341,0.16793049710959773
2023-04-10,,0.5,0.9011946199552767,0.5226431041899182,0.04848486277600404,0.7421776156269992,0.1679306175088206
2023-04-11,,0.5,0.9011999904223558,0.5226429806663877,0.048484720478703475,0.7421777227414817,0.16793067770843206
2023-04-12,,0.5,0.9012026756558953,0.5226429189046224,0.048484649330053184,0.742177776298723,0.16793070780823777
