Date,Company,VADER Sentiment Score,FinBERT Sentiment Score,VADER Rolling Mean,VADER Volatility,FinBERT Rolling Mean,FinBERT Volatility
2023-01-10,,0.5,0.5083535313606262,0.5160857142857143,0.1683117012738992,0.8044484172548566,0.1378640178704179
2023-01-11,,0.5,0.5083535313606262,0.5160857142857143,0.1683117012738992,0.8044484172548566,0.1378640178704179
2023-01-12,,0.5,0.5083535313606262,0.5160857142857143,0.1683117012738992,0.8044484172548566,0.1378640178704179
2023-01-13,,0.5,0.5083535313606262,0.5160857142857143,0.1683117012738992,0.8044484172548566,0.1378640178704179
2023-01-16,,0.5,0.5083535313606262,0.5160857142857143,0.1683117012738992,0.8044484172548566,0.1378640178704179
2023-01-17,Mahanagar Gas Ltd.,0.5,0.5083535313606262,0.5160857142857143,0.1683117012738992,0.8044484172548566,0.1378640178704179
2023-01-17,Mahanagar Gas Ltd.,0.5,0.5083535313606262,0.5173142857142857,0.1680846833763097,0.7831478005363828,0.1475477863193733
2023-01-18,,0.426,0.5143100023269653,0.5137904761904761,0.1699954682068181,0.7785194757438841,0.152674389778079
2023-01-19,,0.389,0.5172882378101349,0.5120285714285714,0.17095086062207232,0.7762053133476348,0.15523769150743186
2023-01-20,,0.3705,0.5187773555517197,0.511147619047619,0.17142855682969943,0.7750482321495101,0.1565193423721083
2023-01-23,,0.36124999999999996,0.519521914422512,0.5107071428571428,0.17166740493351296,0.7744696915504479,0.1571601678044465
2023-01-24,,0.35662499999999997,0.5198941938579082,0.5104869047619047,0.17178682898541975,0.7741804212509167,0.1574805805206156
2023-01-25,,0.3543125,0.5200803335756063,0.5103767857142857,0.17184654101137314,0.7740357861011511,0.15764078687870015
2023-01-27,,0.35315624999999995,0.5201734034344554,0.5103217261904762,0.17187639702434981,0.7739634685262683,0.15772089005774242
2023-01-30,,0.35257812499999996,0.5202199383638799,0.5102941964285714,0.17189132503083815,0.7739273097388268,0.15776094164726356
2023-01-31,,0.35228906249999997,0.5202432058285922,0.510280431547619,0.17189878903408234,0.7739092303451062,0.15778096744202413
2023-02-01,Mahanagar Gas Ltd.,0.352,0.5202664732933044,0.5102666666666666,0.1719062530373265,0.7738911509513855,0.1578009932367847
2023-02-01,Mahanagar Gas Ltd.,0.352,0.5202664732933044,0.5032190476190477,0.1753475238463538,0.7646345013663882,0.1668892387365084
