Price,Close,High,Low,Open,Volume,MA_5,MA_10,MA_15,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded,VADER Sentiment Score
Ticker,MANAPPURAM.NS,MANAPPURAM.NS,MANAPPURAM.NS,MANAPPURAM.NS,MANAPPURAM.NS,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,
2023-01-10,114.72254943847656,115.86217448601693,112.9181370752382,115.71971954368455,4567881,,,,,,,-1.2247580345757707,,0.0086920148662033,0.0099337493205859,-0.0157284890552926,Financial Services,8.0,0.6806
2023-01-11,115.7672119140625,117.04929195902508,113.96279947329015,114.7225543680026,5845260,,,,,,,-1.193223644448109,0.0091059907637963,-0.0090237773613773,0.0110746386974778,-0.0155865586718269,Financial Services,8.0,0.6806
2023-01-12,114.10523986816406,116.47946455436988,113.77284986120699,116.38449701603341,4354400,,,,,,,-1.2433922645540754,-0.0143561550668782,0.0199750436570904,0.0208073239138621,-0.002913012648158,Financial Services,8.0,0.6806
2023-01-13,115.52979278564453,115.76721529147382,113.48795778640066,114.72255771493691,3094130,,,,,,,-1.2003904256757991,0.0124845530242641,-0.0069872458977345,0.0020550760120361,-0.0176736662466998,Financial Services,8.0,0.6806
2023-01-16,116.2895278930664,119.47099492390177,115.7197153897505,116.43198283028515,12830543,115.2828643798828,,,,,,-1.1774569099891323,0.0065760968586821,0.0012250022835222,0.0273581558759175,-0.0048999468278851,Financial Services,8.0,0.6806
2023-01-17,111.92095947265625,116.1945642596563,111.11372446200144,116.09959671350151,11902101,114.72254638671876,,,,,,-1.3093273888165915,-0.0375663097061263,0.037335609527777,0.038184132866053,-0.0072125454826182,Financial Services,8.0,0.6806
2023-01-18,111.06623840332031,112.68071568962667,108.97692338052315,112.06341576384952,9956902,113.78235168457032,,,,,,-1.3351281697201594,-0.0076368275733443,0.0089782221390095,0.0145361660709497,-0.0188114322843107,Financial Services,8.0,0.6806
2023-01-19,107.88477325439453,111.11372042526622,107.31496075260755,111.11372042526622,8467802,112.5382583618164,,,,,,-1.431164512106741,-0.0286447546496782,0.0299295912988366,0.0299295912988366,-0.0052816767797561,Financial Services,8.0,0.6806
2023-01-20,109.64170837402344,110.11655337736795,107.31497075585924,108.26466076254826,8564549,111.3606414794922,,,,,,-1.3781293176911549,0.0162852927862768,-0.012559523486971,0.0043308792829519,-0.0212212820528748,Financial Services,8.0,0.6806
2023-01-23,112.77569580078125,112.96563091653742,109.83165803319922,110.49643818390605,7621914,110.65787506103516,112.970369720459,,,,,-1.2835261473081696,0.0285838981646178,-0.020210539165296,0.0016841848273025,-0.0261052503083881,Financial Services,8.0,0.5903
2023-01-24,112.34832763671875,114.2951877501938,111.92096279798554,113.15556267135766,5282492,110.74334869384764,112.7329475402832,,,,,-1.2964267680623809,-0.0037895413637478,0.0071851094860007,0.0173287858789521,-0.0038039270162979,Financial Services,8.0,0.5
2023-01-25,109.45177459716797,112.01593474807508,108.97692958806962,112.01593474807508,4642213,110.4204559326172,112.10140380859374,,,,,-1.3838626966128214,-0.0257818972518831,0.0234273054077411,0.0234273054077411,-0.0043383947939262,Financial Services,8.0,0.5740000000000001
2023-01-27,106.79264068603516,110.35397828888951,105.84295065860732,109.83165312114014,5925984,110.20202941894532,111.37014389038086,,,,,-1.464131843935572,-0.0242950278414363,0.0284571335213961,0.0333481556404668,-0.0088928415041246,Financial Services,8.0,0.611
2023-01-30,106.31779479980469,108.69201984888974,104.79829221750222,106.7451596559759,5120017,109.53724670410156,110.44894409179688,,,,,-1.4784656366933793,-0.0044464289222558,0.0040196926297797,0.0223313985542654,-0.0142920814447259,Financial Services,8.0,0.6295
2023-01-31,109.21434020996094,109.68918516739555,105.60551563523426,107.40992792259759,7715715,108.8249755859375,109.74142532348633,111.5885716756185,,,,-1.3910299384453657,0.0272442201760337,-0.0165217523989471,0.0043478260869564,-0.033043504797894,Financial Services,8.0,0.648
2023-01-31,109.21434020996094,109.68918516739555,105.60551563523426,107.40992792259759,7715715,108.8249755859375,109.74142532348633,111.5885716756185,,,,-1.3910299384453657,0.0272442201760337,-0.0165217523989471,0.0043478260869564,-0.033043504797894,Financial Services,8.0,0.648
2023-02-01,107.45742797851562,112.20587811238234,105.6530154785343,110.11655570614505,7609647,107.84679565429688,109.29507217407226,111.10423024495442,,,,-1.4440644419536708,-0.01608682731652,0.024745871715458,0.044189128878239,-0.0167918824591827,Financial Services,8.0,0.705675
2023-02-02,109.40428924560547,110.25901172709112,105.89043901073771,107.45742901920143,7324260,107.83729858398438,109.12887725830078,110.68003540039062,,,,-1.3852960989188448,0.018117512243817,-0.0177950996238681,0.0078125134524373,-0.0321180299154395,Financial Services,8.0,0.7345125
2023-02-03,110.30650329589844,111.1137384078692,107.40994567849485,110.59140597012093,6768039,108.54007110595704,109.37105026245118,110.42678629557292,,,,-1.3580616854068264,0.0082466058370669,0.002582827536997,0.0073181098833796,-0.0262591735832069,Financial Services,8.0,0.74893125
2023-02-06,109.78416442871094,110.35397698934545,105.55804675464843,109.21435186807642,10509291,109.23334503173828,109.38529586791992,110.04374440511069,,,,-1.3738291107730842,-0.0047353406334195,-0.0051902982875506,0.0051902982875506,-0.0384947837974097,Financial Services,8.0,0.756140625
2023-02-07,111.01876831054688,112.7282060534639,109.21435576616774,109.7366881919691,7618549,109.59423065185548,109.20960311889648,109.6923604329427,111.08998641967771,,,-1.3365611114213287,0.0112457373817116,-0.0115483187040185,0.0153977365172643,-0.0162532207106796,Financial Services,8.0,0.7597453125
