Close,High,Low,Open,MA_5,MA_15,MA_10,MA_20,MA_25,MA_30,Return_Ratio,Percentage_Change_Open,Percentage_Change_High,Percentage_Change_Low,Sector_Encoded,VADER Sentiment Score,label_5d,label_10d,label_20d
5303.11865234375,5355.339283703299,5246.702593895586,5266.494945356147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0069060696900337,0.0098471550012311,-0.0106382795005408,5.0,0.7202,,,
5292.5068359375,5336.534239003823,5265.902698859489,5303.118798866613,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020010520416246,0.0020050919645593,0.0083188183654985,-0.0050267553548277,5.0,0.7202,,,
5256.08056640625,5318.962325072615,5244.975024199445,5244.975024199445,0.0,0.0,0.0,0.0,0.0,0.0,-0.0068826117113172,-0.0021128942120455,0.0119636215373615,-0.0021128942120455,5.0,0.7202,,,
5252.32861328125,5304.993654128579,5212.249852502797,5244.826106798711,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007138309768271,-0.0014284152868058,0.0100269889271888,-0.0076306651257708,5.0,0.7202,,,
5297.04736328125,5304.993802428617,5236.583859299346,5252.674362248356,5280.21640625,0.0,0.0,0.0,0.0,0.0,0.0085140807616115,-0.0083769311447891,0.0015001638842142,-0.0114145673684235,5.0,0.7202,,,
5284.7080078125,5330.660079209286,5251.736502454225,5281.351280672055,5276.53427734375,0.0,0.0,0.0,0.0,0.0,-0.0023294780322874,-0.0006351774091365,0.0086952905115766,-0.0062390401342008,5.0,0.7202,0.0,,
5313.384765625,5348.083317529596,5281.302089381096,5311.1636572696525,5280.70986328125,0.0,0.0,0.0,0.0,0.0,0.0054263656137872,-0.0004180213655364,0.0065304045227589,-0.0060380863910821,5.0,0.7202,1.0,,
5331.44970703125,5355.339154682493,5287.27432875069,5330.660172402851,5295.78369140625,0.0,0.0,0.0,0.0,0.0,0.0033998933265893,-0.0001480900452569,0.0044808539823113,-0.008285809809347,5.0,0.7202,1.0,,
5218.32177734375,5453.018905096047,5187.769003660401,5355.339297817929,5288.98232421875,0.0,0.0,0.0,0.0,0.0,-0.0212189809346422,0.026257008732015,0.0449755951753063,-0.0058549041218576,5.0,0.7202,0.0,,
5334.70751953125,5384.855017756655,5192.556584328243,5244.382446121006,5296.51435546875,5288.365380859375,0.0,0.0,0.0,0.0,0.0223032896692589,-0.0169315886727714,0.0094002338538348,-0.0266464346325583,5.0,0.7202,1.0,,
5334.70751953125,5384.855017756655,5192.556584328243,5244.382446121006,5296.51435546875,5288.365380859375,0.0,0.0,0.0,0.0,0.0223032896692589,-0.0169315886727714,0.0094002338538348,-0.0266464346325583,5.0,0.7202,1.0,1.0,
5384.55908203125,5429.277204419201,5317.876183745994,5330.6109240125525,5316.4845703125,5296.509423828125,0.0,0.0,0.0,0.0,0.0093447601986585,-0.0100190483931594,0.0083048809952106,-0.0123840963149206,5.0,0.741775,1.0,1.0,
5383.52197265625,5409.583361679273,5336.582744539062,5336.582744539062,5330.51201171875,5305.6109375,0.0,0.0,0.0,0.0,-0.0001926080407327,-0.0087190557325853,0.0048409552622601,-0.0087190557325853,5.0,0.7525625,0.0,0.0,
5357.2646484375,5429.376446435136,5298.676644381415,5331.647670399304,5335.675,5315.729345703125,0.0,0.0,0.0,0.0,-0.0048773506177025,-0.0047817271908842,0.0134605629420732,-0.0109361787966126,5.0,0.75795625,0.0,0.0,
5213.2373046875,5439.938818159243,5182.586201954771,5366.7902193636655,5334.65810546875,5311.82021484375,0.0,0.0,0.0,0.0,-0.0268844929645219,0.029454426434434,0.04348574603882,-0.005879475830722,5.0,0.7606531249999999,0.0,0.0,
5199.466796875,5304.1548468577785,5162.84309078475,5230.95708184864,5307.6099609375,5302.062158203125,5294.780240885417,0.0,0.0,0.0,-0.0026414504093489,0.0060564450555904,0.020134381865021,-0.0070437426607401,5.0,0.76335,0.0,0.0,
5199.466796875,5304.1548468577785,5162.84309078475,5230.95708184864,5307.6099609375,5302.062158203125,5294.780240885417,0.0,0.0,0.0,-0.0026414504093489,0.0060564450555904,0.020134381865021,-0.0070437426607401,5.0,0.76335,0.0,0.0,
5274.44091796875,5362.544879027792,5192.457536925069,5192.457536925069,5285.586328125,5301.03544921875,5292.868391927083,0.0,0.0,0.0,0.0144195787804263,-0.01554352059654,0.0167039431153535,-0.01554352059654,5.0,0.75515,1.0,1.0,
5561.6552734375,5725.523710674032,5231.944080443513,5231.944080443513,5321.21298828125,5325.8625,5310.81162109375,0.0,0.0,0.0,0.0544539904675545,-0.0592829250976215,0.0294639687610933,-0.0592829250976215,5.0,0.75105,1.0,1.0,
5579.86865234375,5694.921873361403,5522.218164913838,5590.97419421848,5365.7337890625,5350.70439453125,5332.397493489583,0.0,0.0,0.0,0.0032748126251616,0.0019902873287287,0.0206193421720288,-0.0103318717736655,5.0,0.749,1.0,1.0,
5647.736328125,5666.294731304501,5540.086310616979,5579.869122066257,5452.63359375,5393.645849609375,5358.7580078125,0.0,0.0,0.0,0.0121629522144294,-0.0120167093709339,0.003285989660509,-0.0190607371261185,5.0,0.7479750000000001,1.0,1.0,1.0
5707.0146484375,5725.474719975157,5616.936363175676,5676.017943116802,5554.1431640625,5430.8765625,5386.08916015625,5359.620971679688,0.0,0.0,0.0104959433069319,-0.0054313344594594,0.0032346283783784,-0.0157837837837837,5.0,0.7474625,1.0,1.0,1.0
5696.6494140625,5903.21249336633,5626.807895014729,5768.958831309838,5638.58486328125,5462.085595703125,5413.551920572917,5379.297509765625,0.0,0.0,-0.0018162270492573,0.0126933240913225,0.0362604514144608,-0.0122601048390591,5.0,0.7472062500000001,0.0,0.0,0.0
5892.0576171875,5913.083916439748,5725.17805651589,5725.17805651589,5704.66533203125,5512.93916015625,5452.130110677083,5409.275048828125,0.0,0.0,0.0343023045516236,-0.0283227985050268,0.0035685834420411,-0.0283227985050268,5.0,0.747078125,1.0,1.0,1.0
5957.7041015625,5996.992849566629,5842.008836828858,5854.545952956786,5780.232421875,5572.98310546875,5493.880403645833,5444.356225585938,0.0,0.0,0.0111415211187862,-0.0173150842752762,0.0065946121751541,-0.0194194378843519,5.0,0.7470140625,1.0,1.0,1.0
6027.54541015625,6065.007815697748,5936.627943890468,6016.686658055288,5856.19423828125,5654.413916015625,5547.828645833333,5483.117065429688,0.0,0.0,0.0117228562216497,-0.0018015214091403,0.0062152008806726,-0.0150836634283316,5.0,0.74698203125,1.0,1.0,1.0
5851.8310546875,6071.029580306878,5825.424543911368,6066.093783900125,5885.15751953125,5719.650341796875,5582.303548177083,5510.85625,5464.72828125,0.0,-0.0291518924391139,0.0366146471438191,0.0374581090210719,-0.004512521043303,5.0,0.746966015625,0.0,0.0,0.0
5944.525390625,5989.09553709396,5797.635796008647,5840.034481201231,5934.73271484375,5786.6587890625,5619.634635416666,5543.847119140625,5490.38455078125,0.0,0.0158402276264023,-0.0175776706393684,0.007497679552223,-0.0247100626145881,5.0,0.7469580078125,1.0,1.0,1.0
6013.03369140625,6038.453041712625,5945.265306312104,5956.518825191104,5958.9279296875,5831.796630859375,5661.602083333333,5578.829565429687,5519.205625,0.0,0.0115246039472374,-0.009398727683152,0.00422737533347,-0.0112702486917709,5.0,0.74695400390625,1.0,1.0,1.0
5874.04248046875,6021.671966784289,5837.122335587874,6021.671966784289,5942.19560546875,5861.214013671875,5696.053938802083,5605.959204101562,5543.9241015625,0.0,-0.0231149895494755,0.0251325193521172,0.0251325193521172,-0.0062853043715015,5.0,0.746952001953125,0.0,0.0,0.0
6353.357421875,6411.303867113375,5889.39253867406,5889.39253867406,6007.3580078125,5931.776123046875,5772.061946614584,5662.710986328125,5587.96525390625,0.0,0.0815988210844536,-0.0730267246737103,0.0091206021305936,-0.0730267246737103,5.0,0.7469510009765625,1.0,1.0,1.0
6485.0439453125,6563.27631665629,6298.076077897562,6334.600970512328,6134.0005859375,6009.579052734375,5857.76708984375,5720.227807617188,5635.4851171875,5576.273665364583,0.0207270762044797,-0.0231984510928279,0.0120635067400487,-0.0288306245866046,5.0,0.7469505004882813,1.0,1.0,1.0
6630.40380859375,6700.837725222106,6364.709963666695,6379.418541705459,6271.17626953125,6102.9544921875,5948.164615885416,5782.520043945313,5689.31294921875,5620.51650390625,0.0224146304183981,-0.0378536924950161,0.0106228698374397,-0.0400720457753546,5.0,0.7469502502441406,1.0,1.0,1.0
6366.83203125,6638.44882257396,6317.819667264825,6618.95242594451,6341.9359375,6150.43193359375,6001.84306640625,5831.685546875,5731.45083984375,5656.32734375,-0.039751994743085,0.0395990334686136,0.0426612151837517,-0.0076980771197685,5.0,0.7469501251220703,0.0,0.0,0.0
