Close,High,Low,Open,MA_5,MA_15,MA_10,MA_20,MA_25,MA_30,Return_Ratio,Percentage_Change_Open,Percentage_Change_High,Percentage_Change_Low,Sector_Encoded,VADER Sentiment Score,label_5d,label_10d,label_20d
1200.897216796875,1204.4190289346498,1178.8367795037634,1188.6196573419688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0102236555162096,0.0029326507618765,-0.018369962878216,8.0,0.5,,,
1186.9075927734375,1211.315823958457,1181.184633415936,1205.6418267555907,0.0,0.0,0.0,0.0,0.0,0.0,-0.0116493100556529,0.015784071225273,0.0205645589712548,-0.0048217396133835,8.0,0.5,,,
1182.896728515625,1198.1579944569387,1171.3040418592377,1187.6414005068166,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033792557080541,0.0040110618930746,0.0129016046569547,-0.0098002525300199,8.0,0.5,,,
1207.5985107421875,1210.4355693085142,1183.826068911805,1186.6631274781316,0.0,0.0,0.0,0.0,0.0,0.0,0.0208824503704223,-0.0173363771798534,0.0023493392390681,-0.0196857164189214,8.0,0.5,,,
1212.3431396484375,1222.859733355293,1205.8375019830082,1213.0768554884507,1198.1286376953126,0.0,0.0,0.0,0.0,0.0,0.0039289787657438,0.0006052047609441,0.0086746015735323,-0.0053661685810469,8.0,0.5,,,
1203.6363525390625,1213.0768535494549,1186.369549247706,1213.0768535494549,1198.67646484375,0.0,0.0,0.0,0.0,0.0,-0.0071817844508113,0.0078433166217335,0.0078433166217335,-0.01434553156768,8.0,0.5,0.0,,
1196.4459228515625,1211.1202391580002,1191.55448408275,1205.2505126354251,1200.584130859375,0.0,0.0,0.0,0.0,0.0,-0.0059739220008865,0.0073589533932951,0.0122649223221584,-0.0040883074407195,8.0,0.5,0.0,,
1174.4835205078125,1217.9683674658404,1157.5590930152257,1188.6197321052175,1198.9014892578125,0.0,0.0,0.0,0.0,0.0,-0.0183563685782017,0.0120361089368823,0.0370246548365584,-0.0144101021402747,8.0,0.5,0.0,,
1176.3421630859375,1201.3374651158776,1172.4779738936315,1182.358657173878,1192.6502197265625,0.0,0.0,0.0,0.0,0.0,0.0015825190781062,0.0051145782891579,0.0212483262219975,-0.0032849193997849,8.0,0.5,1.0,,
1178.5433349609375,1193.6579540214975,1174.4345737246151,1186.3696378262412,1185.8902587890625,1192.0094482421875,0.0,0.0,0.0,0.0,0.0018712003565574,0.0066406576942399,0.0128248309690379,-0.0034863047581178,8.0,0.5,1.0,,
1185.9783935546875,1193.3155523383225,1172.3312065651855,1180.1086665277796,1182.3586669921874,1190.5175659179688,0.0,0.0,0.0,0.0,0.0063086849445348,-0.0049492697833345,0.0061865872291682,-0.0115071126621436,8.0,0.5,1.0,1.0,
1131.04736328125,1184.7064204559072,1126.3515344908442,1183.7281327428966,1169.278955078125,1184.93154296875,0.0,0.0,0.0,0.0,-0.0463170581959717,0.0465769791539196,0.0474419188061128,-0.0041517525639093,8.0,0.5,0.0,0.0,
1092.1605224609375,1143.27605994808,1081.9863054694697,1137.7976721587966,1152.81435546875,1175.8579223632812,0.0,0.0,0.0,0.0,-0.0343812664993081,0.0417861191274575,0.0468022204025149,-0.0093156791352819,8.0,0.5,0.0,0.0,
1065.4044189453125,1100.3782091933178,1032.0936702558247,1085.8995014066022,1130.626806640625,1161.6385131835937,0.0,0.0,0.0,0.0,-0.0244983250771014,0.0192369039369844,0.0328267741583307,-0.0312658255373705,8.0,0.5,0.0,0.0,
1059.436767578125,1074.991568103689,1045.1537890113432,1073.2307216452623,1106.8054931640625,1146.3478759765626,1163.6081298828126,0.0,0.0,0.0,-0.0056013014974117,0.0130200824525565,0.0146821414940339,-0.0134816715861511,8.0,0.5,0.0,0.0,
1019.2290649414062,1094.703988477809,968.5048691626728,1070.2467948120848,1073.4556274414062,1127.9071472167968,1151.4969197591147,0.0,0.0,0.0,-0.0379519607655619,0.0500552148928479,0.0740509921984433,-0.0497672186984283,8.0,0.5,0.0,0.0,
1052.5399169921875,1057.5291611208957,1006.071244324988,1012.4301153215522,1057.7541381835938,1113.5165466308597,1142.5390747070312,0.0,0.0,0.0,0.032682400057632,-0.0381076299559791,0.0047401946930105,-0.0441490834855855,8.0,0.5,1.0,1.0,
1079.589599609375,1106.4435531988936,1055.572585235726,1085.8995084445376,1055.2399536132812,1104.0271545410155,1135.651932779948,0.0,0.0,0.0,0.025699436363883,0.0058447291799084,0.0248742240562849,-0.0222464299233142,8.0,0.5,1.0,1.0,
1079.589599609375,1106.4435531988936,1055.572585235726,1085.8995084445376,1055.2399536132812,1104.0271545410155,1135.651932779948,0.0,0.0,0.0,0.025699436363883,0.0058447291799084,0.0248742240562849,-0.0222464299233142,8.0,0.5,1.0,1.0,
1104.6336669921875,1110.3566266021492,1076.5567361477558,1084.9211444068576,1063.0858032226563,1096.8563049316406,1128.7876098632812,0.0,0.0,0.0,0.0231977664400195,-0.0178453030849632,0.0051808665451458,-0.0254174136488909,8.0,0.6562250000000001,1.0,1.0,
1118.0850830078125,1123.2210936477636,1098.127989208596,1109.3782982294413,1074.8154663085938,1090.810479736328,1122.5037394205729,1141.409963989258,0.0,0.0,0.0121772642076462,-0.0077872291748573,0.004593577642709,-0.0178493516303152,8.0,0.7343375000000001,1.0,1.0,1.0
1120.48193359375,1126.2538556303634,1111.33496633754,1119.1612689173817,1095.0660400390625,1084.2608337402344,1116.9601114908853,1137.3891998291017,0.0,0.0,0.002143710369062,-0.0011786577157317,0.005151285231437,-0.0081634223470902,8.0,0.7733937500000001,1.0,1.0,1.0
1138.5313720703125,1142.8357427888473,1113.5850335501973,1125.1777199196836,1112.2643310546875,1085.009234619141,1113.099141438802,1134.9703887939454,0.0,0.0,0.0161086385557972,-0.0117288398705663,0.0037806342663246,-0.0219109803489671,8.0,0.792921875,1.0,1.0,1.0
